                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.3007,                 3.2199,                0.36952,                0.87747,                 1.3031,                0.71703,                0.90587,                0.87569,                0.55628,                0.86781,                0.57143,                0.51838,                0.25523,                 1.1804,                 4.2772,                 0.3915,                 0.8818,                 1.1892,              0.0001802,              0.0001802,              0.0001802
                     12,                0.93932,                 1.7908,                 0.3059,                0.57423,                 1.1015,                0.97367,                0.64286,                0.86381,                0.55635,                0.86498,                0.57143,                0.51811,                0.24419,                 1.2328,                 4.4241,                0.38909,                0.93468,                 1.2177,             0.00019604,             0.00019604,             0.00019604
                     13,                0.92551,                 2.5039,                0.28202,                0.55471,                 1.0943,                0.74504,                0.83588,                0.85334,                 0.5254,                0.86433,                0.57143,                0.52677,                0.24877,                 1.2755,                 4.6994,                0.41001,                 1.0251,                 1.2623,             0.00021149,             0.00021149,             0.00021149
                     14,                0.91409,                 3.2192,                0.38617,                0.83588,                 1.2518,                0.89429,                0.64286,                 0.8373,                0.51312,                0.79199,                0.57143,                 0.5137,                0.24623,                 1.3427,                 4.8675,                0.42464,                  1.121,                   1.32,             0.00022654,             0.00022654,             0.00022654
                     15,                0.91882,                 3.2648,                 0.3873,                0.64393,                 1.0757,                0.66619,                0.78571,                0.81278,                0.45341,                0.84279,                    0.5,                0.50773,                0.21228,                 1.4398,                    5.1,                0.43708,                 1.2462,                 1.3937,             0.00024119,             0.00024119,             0.00024119
                     16,                0.88752,                 2.1367,                0.27629,                0.59552,                 1.1278,                0.73322,                0.78527,                0.80432,                0.43415,                0.84747,                    0.5,                   0.45,                0.20539,                 1.4751,                 5.3274,                0.44381,                 1.2778,                 1.4325,             0.00025545,             0.00025545,             0.00025545
                     17,                  1.029,                 2.7121,                 0.3168,                 0.8467,                 1.0914,                0.71473,                0.78571,                0.76834,                0.41875,                0.79365,                0.35714,                0.39804,                0.21179,                 1.4384,                 5.5687,                0.46099,                 1.2561,                 1.4486,             0.00026931,             0.00026931,             0.00026931
                     18,                0.88018,                 2.7672,                0.23481,                0.79588,                 1.1095,                0.71473,                0.78571,                0.76834,                0.41875,                0.79365,                0.35714,                0.39804,                0.21179,                 1.4384,                 5.5687,                0.46099,                 1.2561,                 1.4486,             0.00028278,             0.00028278,             0.00028278
                     19,                0.95708,                 1.8682,                0.31161,                0.61175,                 1.0854,                0.61057,                0.64286,                 0.7546,                0.38116,                0.78147,                0.35714,                 0.3805,                0.20059,                 1.4609,                 5.7595,                0.45479,                 1.3411,                  1.476,             0.00029585,             0.00029585,             0.00029585
                     20,                 0.7999,                 1.5366,                  0.381,                0.52649,                 1.0561,                0.61057,                0.64286,                 0.7546,                0.38116,                0.78147,                0.35714,                 0.3805,                0.20059,                 1.4609,                 5.7595,                0.45479,                 1.3411,                  1.476,             0.00030852,             0.00030852,             0.00030852
                     21,                0.68915,                 1.6843,                0.39039,                0.56744,                 1.1886,                0.82831,                0.64286,                0.78886,                0.39504,                0.70726,                 0.3466,                0.34659,                0.17144,                 1.5549,                 5.9782,                0.46806,                 1.3482,                 1.5009,              0.0003208,              0.0003208,              0.0003208
                     22,                0.87702,                 3.3327,                0.20344,                  0.701,                 1.1017,                0.82831,                0.64286,                0.78886,                0.39504,                0.70726,                 0.3466,                0.34659,                0.17144,                 1.5549,                 5.9782,                0.46806,                 1.3482,                 1.5009,             0.00033268,             0.00033268,             0.00033268
                     23,                0.83795,                 2.3535,                0.32931,                0.55434,                  1.019,                0.59124,                0.71429,                0.71985,                0.37555,                0.64998,                0.42857,                0.43138,                0.17788,                 1.6038,                  6.039,                0.48443,                 1.3905,                 1.5509,             0.00034417,             0.00034417,             0.00034417
                     24,                0.91345,                 1.4264,                0.17284,                0.63901,                 1.1719,                0.59124,                0.71429,                0.71985,                0.37555,                0.64998,                0.42857,                0.43138,                0.17788,                 1.6038,                  6.039,                0.48443,                 1.3905,                 1.5509,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.2334,                 2.6872,                0.29575,                0.77239,                 1.1742,                 0.5718,                0.76389,                0.68407,                0.37547,                0.54788,                0.35714,                0.38364,                0.19877,                 1.6034,                 6.2948,                0.50933,                 1.4957,                 1.5468,             0.00036595,             0.00036595,             0.00036595
                     26,                  0.873,                 2.0998,                0.35952,                0.59646,                 1.0831,                 0.5718,                0.76389,                0.68407,                0.37547,                0.54788,                0.35714,                0.38364,                0.19877,                 1.6034,                 6.2948,                0.50933,                 1.4957,                 1.5468,             0.00037625,             0.00037625,             0.00037625
                     27,                0.81485,                 1.5892,                0.23888,                0.61052,                 1.1276,                0.84199,                    0.5,                0.65436,                0.33802,                0.67875,                0.35714,                0.38949,                 0.1398,                 1.6384,                  6.561,                0.52909,                 1.6219,                 1.5777,             0.00038615,             0.00038615,             0.00038615
                     28,                0.70447,                 1.7554,                0.24367,                0.54035,                0.94192,                0.84199,                    0.5,                0.65436,                0.33802,                0.67875,                0.35714,                0.38949,                 0.1398,                 1.6384,                  6.561,                0.52909,                 1.6219,                 1.5777,             0.00039566,             0.00039566,             0.00039566
                     29,                0.86579,                 2.8383,                0.43242,                0.62485,                 1.0097,                 0.8423,                    0.5,                 0.6372,                0.36076,                      1,                0.35621,                 0.3976,                0.12295,                  1.654,                 6.7969,                0.54722,                 1.7927,                 1.5574,             0.00040477,             0.00040477,             0.00040477
                     30,                 1.0222,                 1.4726,                0.31338,                0.88666,                 1.3436,                 0.8423,                    0.5,                 0.6372,                0.36076,                      1,                0.35621,                 0.3976,                0.12295,                  1.654,                 6.7969,                0.54722,                 1.7927,                 1.5574,             0.00041348,             0.00041348,             0.00041348
                     31,                0.90321,                 2.2567,                0.29736,                0.65059,                 1.0573,                0.85164,                    0.5,                0.63088,                0.34633,                      1,                0.35421,                0.39892,                0.12283,                 1.5722,                 6.9064,                0.57002,                 1.7348,                 1.5345,              0.0004218,              0.0004218,              0.0004218
                     32,                0.77478,                  2.013,                0.31427,                0.71976,                0.93457,                0.85164,                    0.5,                0.63088,                0.34633,                      1,                0.35421,                0.39892,                0.12283,                 1.5722,                 6.9064,                0.57002,                 1.7348,                 1.5345,             0.00042972,             0.00042972,             0.00042972
                     33,                0.99571,                 1.5111,                0.28564,                0.76579,                 1.1707,                0.85663,                    0.5,                0.62621,                0.32176,                0.61092,                0.35714,                0.36134,                0.10882,                  1.531,                 7.0574,                0.58761,                 1.8041,                 1.5227,             0.00043725,             0.00043725,             0.00043725
                     34,                0.93832,                 2.9907,                0.39874,                0.60659,                0.99031,                0.85663,                    0.5,                0.62621,                0.32176,                0.61092,                0.35714,                0.36134,                0.10882,                  1.531,                 7.0574,                0.58761,                 1.8041,                 1.5227,             0.00044438,             0.00044438,             0.00044438
                     35,                0.87557,                 2.9009,                0.29935,                0.66396,                 1.1405,                0.87163,                    0.5,                 0.6153,                0.32385,                 0.4841,                0.28571,                0.19831,                0.07627,                 1.5017,                 7.0454,                0.61456,                 1.9216,                 1.5527,             0.00045111,             0.00045111,             0.00045111
                     36,                0.94891,                 2.7809,                0.34058,                0.76742,                 1.0072,                0.87163,                    0.5,                 0.6153,                0.32385,                 0.4841,                0.28571,                0.19831,                0.07627,                 1.5017,                 7.0454,                0.61456,                 1.9216,                 1.5527,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.0503,                 2.9198,                0.32851,                0.86363,                 1.1158,                0.79444,                0.35714,                0.48464,                0.27672,                0.63488,                0.28571,                0.31041,                0.06788,                   1.53,                 7.0967,                0.63506,                 2.2167,                 1.5898,             0.00046339,             0.00046339,             0.00046339
                     38,                0.78515,                 2.2233,                0.27515,                0.56143,                0.92196,                0.79444,                0.35714,                0.48464,                0.27672,                0.63488,                0.28571,                0.31041,                0.06788,                   1.53,                 7.0967,                0.63506,                 2.2167,                 1.5898,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.0151,                 3.6443,                0.44514,                0.70621,                 1.1071,                0.81494,                0.35714,                0.46277,                0.22524,                0.67863,                0.21429,                0.24458,                0.05471,                 1.6779,                 7.1653,                0.65389,                 2.4783,                 1.7124,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.0154,                 2.6578,                   0.25,                0.76081,                 1.1922,                0.81494,                0.35714,                0.46277,                0.22524,                0.67863,                0.21429,                0.24458,                0.05471,                 1.6779,                 7.1653,                0.65389,                 2.4783,                 1.7124,             0.00047884,             0.00047884,             0.00047884
                     41,                0.84387,                 3.1621,                 0.2765,                0.63521,                0.96023,                0.85354,                0.41775,                0.46435,                0.18822,                0.56483,                0.27911,                0.26451,                0.08982,                 1.9718,                 7.2084,                0.64564,                 2.8882,                 1.8707,              0.0004832,              0.0004832,              0.0004832
